MC_cycle,Potentiel_energy (kJ/mol)
202.0,-154290.70797161743
203.0,-154286.2091462805
204.0,-154285.78891263923
205.0,-154294.34573585907
206.0,-154293.27686044472
207.0,-154294.33174464066
208.0,-154289.39879431797
209.0,-154292.8552081157
210.0,-154293.12139923262
211.0,-154290.6747043409
212.0,-154293.2014151672
213.0,-154293.2014151672
214.0,-154294.42811579004
215.0,-154291.9878058518
216.0,-154291.57127951432
217.0,-154291.57127951432
218.0,-154293.0862564213
219.0,-154288.58716212827
220.0,-154293.96321217832
221.0,-154292.2641338113
222.0,-154292.2641338113
223.0,-154290.7711583804
224.0,-154291.26632696216
225.0,-154294.27222771247
226.0,-154297.9801724542
227.0,-154295.80180786637
228.0,-154295.11087022445
229.0,-154298.61306656068
230.0,-154299.33876441873
231.0,-154300.03120847474
232.0,-154300.28173058393
233.0,-154295.8042424507
234.0,-154296.91026354957
235.0,-154299.97148003997
236.0,-154299.97148003997
237.0,-154300.29906396923
238.0,-154296.74889286575
239.0,-154303.3184301742
240.0,-154303.3184301742
241.0,-154301.3363475436
242.0,-154300.91652711562
243.0,-154296.58074623847
244.0,-154294.65127244807
245.0,-154294.65127244807
246.0,-154290.6329129233
247.0,-154290.49620767144
248.0,-154290.3877602509
249.0,-154291.52135820212
250.0,-154291.7381505295
251.0,-154291.3897356057
252.0,-154288.50176188577
253.0,-154289.9556969739
254.0,-154284.95766041026
255.0,-154287.04657581294
256.0,-154296.27568339434
257.0,-154285.92139009974
258.0,-154287.58732959797
259.0,-154292.16572789667
260.0,-154292.90134537712
261.0,-154293.1485558283
262.0,-154299.94548994317
263.0,-154300.00104162865
264.0,-154299.26074820026
265.0,-154300.05640527356
266.0,-154299.85748977796
267.0,-154300.07849338293
268.0,-154297.3138405589
269.0,-154293.3519473689
270.0,-154293.27318951843
271.0,-154294.74675003046
272.0,-154293.9901584839
273.0,-154300.72666659363
274.0,-154299.9194988264
275.0,-154299.7599089789
276.0,-154302.30763259824
277.0,-154302.96213728844
278.0,-154299.73866451456
279.0,-154302.77013430087
280.0,-154302.77013430087
281.0,-154301.03476561143
282.0,-154293.6884006965
283.0,-154286.38190510878
284.0,-154298.8076341234
285.0,-154293.26320595
286.0,-154295.62351359305
287.0,-154296.838947984
288.0,-154298.99996539165
289.0,-154295.76280920525
290.0,-154294.62798198964
291.0,-154296.99681097872
292.0,-154296.30943007735
293.0,-154292.83548847487
294.0,-154294.714048216
295.0,-154290.22990546867
296.0,-154290.90349048743
297.0,-154290.91767918668
298.0,-154287.77910369413
299.0,-154281.41436871802
300.0,-154281.41436871802
301.0,-154288.33725398206
302.0,-154288.33725398206
303.0,-154291.15548751428
304.0,-154290.9704692523
305.0,-154298.025463041
306.0,-154297.82966836198
307.0,-154301.52484901415
308.0,-154301.52484901415
309.0,-154300.46631917884
310.0,-154300.22603634783
311.0,-154300.8781980259
312.0,-154289.75910207164
313.0,-154289.74868724096
314.0,-154281.63408576965
315.0,-154278.64961382648
316.0,-154278.51130775872
317.0,-154278.51130775872
318.0,-154277.44566426883
319.0,-154277.44566426883
320.0,-154277.50148283708
321.0,-154293.84244179662
322.0,-154293.84244179662
323.0,-154292.7351055019
324.0,-154299.44212286832
325.0,-154302.67046634277
326.0,-154298.72535186846
327.0,-154295.4550055703
328.0,-154295.98327947874
329.0,-154299.00940691007
330.0,-154297.32328100046
331.0,-154294.42321114516
332.0,-154291.96031016365
333.0,-154286.19253295442
334.0,-154290.27559453988
335.0,-154290.41607967808
336.0,-154292.8210277893
337.0,-154288.83091849412
338.0,-154278.80445532175
339.0,-154277.7210048637
340.0,-154278.31600821062
341.0,-154283.6821258141
342.0,-154286.06320553273
343.0,-154285.4758912852
344.0,-154294.97590154776
345.0,-154295.43588344302
346.0,-154293.26237714422
347.0,-154293.26237714422
348.0,-154291.8583151521
349.0,-154291.69825757283
350.0,-154292.27276739926
351.0,-154292.68452060022
352.0,-154293.69042771737
