Structures,K_Xe_widom,dK_Xe_widom,H_Xe_0_widom,dH_Xe_0_widom
ORIWET_clean,2.12748e-05,9.44832e-08,-18.005804367553818,0.014881911821416939
OROKEN_clean,1.1549e-05,5.81213e-08,-21.250314804355977,0.016580727682529963
OROLUD_clean,4.47393e-05,2.68199e-07,-25.239157317435335,0.009220884944890519
OROMAK_clean,3.68951e-05,5.25265e-07,-27.359646944160446,0.034225944846907344
ORUHAM_clean,6.47301e-57,2.81374e-57,250.79034688940462,1.3615870762589188
ORUKET_clean,9.55998e-05,5.97766e-07,-23.617618192302068,0.01777456240580442
ORUKOD_clean,0.000735355,1.1979e-05,-35.901922689391526,0.03331946226692237
ORULEU_clean,0.000642709,6.54491e-06,-32.64264707632447,0.01840478471809782
OSAVEK_clean,0.000255926,3.2301e-07,-26.014924320849833,0.012827830425802485
OSAVUA_clean,0.000138251,4.41501e-07,-22.79379641407297,0.005405351867177213
OSAWEL_clean,0.00158412,3.24073e-06,-31.967109119508564,0.008088993213397951
