Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,ASA_m2_cm3,time
ANUGOG_clean_15,-18.9918,5.8647e-05,4281.87,0.45291
APARAM_clean_147,-44.5224,0.00815154,1734.77,0.447768
AKUHOD03_clean_1,0.218074,1.88112e-11,0,1.50646
AMOFAK_clean_19,-16.8781,4.77128e-05,4031.97,0.804935
AJAKON_clean_14,-31.9146,0.000374161,155.834,1.65332
AMUFIZ_clean_2,-23.3555,1.18206e-06,0,0.782826
ANOMOG_clean_12,-32.7684,0.000281046,3683.37,0.571691
ANUGUM_clean_2,-20.8563,0.000113592,4357.18,0.526688
AMUFAR_clean_2,-31.881,0.000138707,0.870612,0.829199
ALANAD_clean_2,-19.2908,7.52045e-05,3617.67,1.51004
AMUFEV_clean_2,-24.4187,4.72444e-06,0,0.827729
ABAVIJ_clean_1,-40.9442,0.00284359,0.574024,2.58733
ANONAT_manual_2,-21.4738,0.000121125,3468.44,0.616053
ANOMUM_clean_2,-22.2061,0.00015011,2367.4,0.64601
AQEQES_clean_15,-24.058,0.000229114,1559.45,0.148015
AHEBAS_clean_5,-34.1724,0.00200193,489.895,1.90253
APAYIB_clean_15,-28.9099,0.00062157,1530.56,0.595813
APAZOI_clean_15,-28.0347,0.00040827,1468.27,0.410236
AQALIO_clean_62,1.073,7.67878e-11,0,0.321932
ADODII_clean_1,-30.0679,0.000815041,765.21,2.14673
APAYOH_clean_15,-28.8,0.000576297,1597.29,0.568057
AQALOU_clean_62,2.20497,4.37496e-11,0,0.322074
APAYUN_clean_15,-27.4437,0.00045088,1664.56,0.573519
AQETUM_clean_14,-21.2137,9.72545e-06,130.477,0.226341
AQOTIK_clean_123,-29.2953,0.000498988,1100.63,0.118048
AQOMAW_clean_221,-30.0799,0.000440497,4179.92,0.146084
AQOLOJ_clean_221,-36.6796,0.00373749,5718.66,0.163838
APEBED_clean_19,-33.9802,0.000323607,12.0761,0.497721
AQEQIW_clean_14,-24.4162,0.000241275,1836.12,0.27713
