Structures,CPU_time (s)
AWIBIS_clean,676.16
AWOFOI_clean,91.22
AWOKED_clean,162.35
AWUPAL_clean,89.56
AWUPOZ_clean,90.13
AXAFAG_clean,101.59
AXAQAT_clean,88.0
AXAWUT_clean,81.93
AXIGAR_clean,109.8
AXIMUP_clean,96.77
AXINEA_clean,218.27
AXINIF_clean,137.26
AXIPEE01_clean,100.35
AXIPEE02_clean,283.11
AXIPEE03_clean,107.64
AXIPEE_clean,102.47
AXOCAT_clean,58.79
AXOCEW_clean,148.77
AXOHIE_clean,502.26
AXUBAW_clean5b,105.22
AXUBAW_manual,107.13
AXUBOL_clean,169.75
AXUDII04_clean,98.21
AXUHAD_clean,458.45
AXUHEH_clean,232.94
AXUHIL_clean,323.0
AXUJOT_clean,95.84
AXUPEO_clean,90.86
AYAWEE_clean,119.79
AYOXUJ_clean,156.83
AYOYEU_clean,113.93
AYOYOE_clean,151.13
AYUPOZ_clean,66.78
AYUWUM_clean,152.79
AZAFIS_clean,83.63
AZAVOO_clean,158.91
AZAVUU_clean,125.82
AZAWAB_clean,121.53
AZAWAZ_clean,82.61
AZEBUE_clean,116.87
AZEWEH_clean,103.97
AZILEA_clean,191.19
AZILEC_clean,149.85
AZIMIH_clean,191.67
AZIVAI_clean,69.23
AZIXUD_clean,100.05
AZOBUN_clean,153.01
AZOHEC_clean,109.49
BABREE_clean,274.41
BACGAQ_clean,115.94
BACMOH10_clean,130.62
BACMOH_clean,84.3
BADHIA_clean,152.65
BADHOG_clean,159.12
BADHUM01_clean,128.28
BADHUM_clean,155.54
BADJAU_clean,373.82
BADJIC_clean,143.92
BADXAI_clean,245.88
BADYAJ_clean,144.16
BAEDTA01_clean,188.28
BAFCAP_clean,173.48
BAFHAU_clean,39.86
BAFKUR_clean,144.75
BAFVAH_clean,402.12
BAHGUN01_clean,120.32
BAHGUN02_clean,119.37
BAHGUN03_clean,117.24
BAHGUN04_clean,120.01
BAHGUN_clean,123.44
BAHMAZ_clean,193.57
BAKFAV_clean,80.3
BAKGAX_clean,133.48
