Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,time
ATIRUS_clean_15,-23.0843,3.02004e-06,14.9732
ATIXUX_clean_68,-33.1165,0.000871708,14.775
AMIMAL_clean_14,-35.6149,0.00127141,97.5401
ATIBAG_clean_14,-27.9875,9.52336e-05,22.4999
AMIMEP_clean_9,-36.2219,0.00135184,97.9676
ATIBOU01_clean_14,-26.9999,9.2797e-05,21.6917
ATOWIQ_clean_12,-22.4322,7.41237e-05,15.677
ATOWOW_clean_12,-21.2927,5.96507e-05,15.6661
ATIBOU02_clean_14,-26.9056,9.04903e-05,21.888
AMILOY_clean_14,-35.7337,0.00133784,100.808
ATIBOU_clean_14,-27.5012,7.73337e-05,22.7307
ATICAH_clean_14,-27.0334,8.86658e-05,21.9034
ASUKEE01_clean_70,-40.5354,0.00502004,31.2625
ALUJEX_clean_2,-28.4332,0.000324108,115.799
ASUKEE_clean_70,-40.394,0.00487509,30.9056
ATIBUA_clean_14,-28.5429,0.000103159,23.0448
ATICEL_clean_14,-26.8586,7.52153e-05,22.022
ATEZAC_clean_15,-23.0823,0.000131189,28.3566
ANIDIL_clean_15,-30.6117,0.000150375,86.2548
ASUBIB_clean_2,-27.8296,0.000336602,36.6027
ASECUY_clean_15,-24.9605,4.2156e-05,42.5553
ARINOF_clean_2,-35.0148,0.00070942,54.2755
AVIHOE_clean_91,-26.1065,0.000169527,8.00821
ANEHEI_clean_2,-33.5574,0.000629841,92.2086
AQIXUU_clean_2,-48.0132,0.0905103,67.277
AVEROJ_clean_4,-23.7975,6.5249e-05,14.8183
ATIXAE_clean_14,-25.8749,0.000139177,28.7906
ASALOV_clean_9,-40.7919,0.00565153,50.1103
ATEZIK_clean_15,-24.6212,0.000197132,36.2806
AVIHIY_clean_78,-25.813,0.000158326,12.4267
AMIXEA_clean_1,-36.4656,0.00175595,108.081
ATUXIY_clean_15,-30.1311,0.000561613,26.5908
AVAQIX01_clean_61,-35.552,0.00338216,22.3244
AQEFOS_clean_2,-21.9416,1.10385e-05,76.3532
ATEZEG_clean_15,-26.1845,0.000333692,38.133
AVAQIX_clean_61,-34.9459,0.00298009,22.0035
AVETAY_clean_122,-28.782,0.000562355,15.6208
AVIVAC_clean_141,-30.2154,0.000279497,11.9784
AVIVEG_clean_141,-30.0095,0.000280392,11.9647
AVETEC_clean_122,-28.9202,0.000538867,16.217
AVIVIK_clean_141,-30.0247,0.000293315,12.033
AVITUU_clean_141,-26.9323,0.000165253,12.778
ARUDAU_clean_2,-37.3298,0.00587168,60.7525
AVIVOQ_clean_141,-28.4474,0.000271429,11.7049
AVEQID_clean_14,-20.9875,9.4885e-05,20.4861
APEBUU_clean_15,-32.7569,0.000390628,85.3005
ARUCUN_clean_2,-37.8612,0.00636919,62.8525
AVIVUW_clean_141,-29.3729,0.000238136,11.8993
AFITUF_clean_4,-28.8277,0.000184419,163.26
ASOVEL_clean_19,-28.6817,0.000319328,49.4678
ARUCOH01_clean_14,-35.8425,0.00359705,64.7603
AHINIP_clean_4,-36.489,0.000823897,151.126
AVELOD_clean_118,-28.8673,0.000251292,27.9572
ASAHEJ_clean_2,-20.0211,6.99926e-06,60.8942
AVELUJ_clean_118,-29.4108,0.00029697,28.1507
AVEMOE_clean_33,-27.0801,4.4145e-06,26.5016
AVESOL_clean_14,-26.1083,0.000411147,25.3531
AVEMAQ_clean_118,-28.3254,0.000236076,28.3163
AVIPOL_clean_14,-24.9478,0.000212873,20.2591
ATULIM_clean_32,-36.2806,0.00169602,36.72
AVAGUB_clean_86,-27.0842,4.27082e-05,32.9669
AVAGIP_clean_88,-33.2265,0.000445135,35.2463
ASOYOY_clean_80,-26.5241,0.000207591,53.9905
ATEXII_clean_19,-35.3305,0.000654252,49.3938
ASUJIJ_clean_14,-37.1721,0.000905885,53.8265
AVAGOV_clean_88,-33.0377,0.000463113,35.1048
AVESUR_clean_56,-24.6269,0.000170243,27.0551
AVUJIL_clean_14,27.6021,2.46538e-16,17.8693
ARUYES_14,533.092,4.65911e-107,72.8293
AVEVEE_clean_2,-26.0694,1.9163e-05,28.8648
AWUPAL_clean_58,-16.2857,3.87572e-05,9.40289
AWUPOZ_clean_58,-16.7187,4.20284e-05,9.49921
AWOFOI_clean_14,-24.6058,0.000138382,10.7048
AXAQAT_clean_8,-9.56446,1.74169e-09,9.71888
AXIGAR_clean_9,-18.3847,2.47604e-05,9.43581
AVIPAX_clean_14,-28.79,0.000443801,30.5559
ASADAA_clean_2,-28.4094,0.000241315,73.488
AXUDII04_clean_225,-25.9307,3.90739e-05,1.88462
AVIMIC_clean_15,-28.8924,0.000151163,32.6521
AXAWUT_clean_60,-25.0452,7.32049e-06,10.9226
AWEGEP_clean_62,-23.3342,2.04864e-05,19.6829
ASAMUE_clean_61,-27.9389,3.97771e-05,73.3622
AXOCAT_clean_14,-14.1196,2.18939e-08,10.6547
ATIJUJ_manual_1,-19.1734,1.18359e-05,55.487
ATIJUJ_clean5b_1,-19.1734,1.18359e-05,55.7898
ARUJED_clean_14,-32.6273,7.47648e-05,81.8022
AMAGAX_clean_2,-28.8478,0.000350572,140.483
AXAFAG_clean_14,-17.9547,6.65233e-06,18.7647
AFUKIX_clean_2,-26.4281,0.000158665,178.417
ANENIR_clean_1,-29.782,0.000260657,123.717
AYUPOZ_clean_76,-14.6829,1.22135e-07,5.63397
ASOSUY_clean_6,-28.5998,0.000566938,74.7346
AQEGUY_clean_2,-33.8514,0.00152558,104.106
ATOXEN_clean_2,-34.4165,0.000444229,58.9507
AVALEO_clean_15,20.2566,1.53354e-15,53.4431
ATUYAR_clean_2,-33.2552,0.000134423,57.2062
ATUXOE_clean_2,-32.9087,0.000151934,58.2298
ATUXUK_clean_2,-32.869,0.000128776,57.7271
AXIPEE01_clean_15,-23.7631,8.4827e-05,22.5583
AZAFIS_clean_2,-28.2072,0.000185792,9.47581
AHIYUN_clean_15,-55.533,1.45185,176.281
AXUPEO_clean_2,-35.6588,0.0049143,14.6667
AWASAU_clean_14,-27.7322,5.36082e-05,33.6941
AWIBAL_clean_2,-33.9099,0.00123161,32.0465
AXIPEE_clean_15,-26.0073,0.000120283,25.495
AZAWAZ_clean_2,-16.2503,3.77591e-07,10.5536
AXINIF_clean_62,-27.973,0.000369507,27.8692
AXINEA_clean_70,-37.1847,0.00278576,29.4037
AVEHAM_clean_14,-32.841,0.000263354,59.9112
AVIMOI_clean_14,-31.6361,0.000897806,51.378
AXOCEW_clean_13,-41.4754,0.00861254,24.9679
AQERUL_clean_135,-50.1235,0.346947,113.32
AXIMUP_clean_14,-26.2705,0.00026938,31.9604
AZEWEH_clean_2,-30.3475,3.28775e-05,13.8663
AVIMUO_clean_14,-30.5606,0.000364875,52.9256
AWAGEL_clean_13,-24.1301,7.33382e-05,42.8993
BAFHAU_clean_97,-15.1845,8.24643e-06,1.40616
AZIVAI_clean_94,-21.4368,0.00012679,12.1995
BACMOH_clean_19,-16.9234,2.68014e-07,10.1794
AWEWOP_clean_12,-29.6365,0.000275894,41.3842
ASANAL_clean_14,-37.2774,0.00371937,95.0469
AVUPIR_clean_h_1,-24.3824,8.35298e-06,47.7644
BADHIA_clean_70,-21.2632,2.8413e-07,11.8914
BADHOG_clean_70,-21.5707,3.04682e-07,12.0441
ASINAT_clean_2,-27.6353,0.000222178,95.2363
AWOKED_clean_14,-33.3161,7.93213e-05,40.8154
AVUPIR_SL_2,-11.2956,1.81313e-09,50.3814
BADHUM_clean_70,-21.8139,3.24604e-07,11.9227
AZIXUD_clean_19,-25.8268,0.000215538,24.1066
AXUBOL_clean_160,-32.8255,0.000832655,38.3718
ATEJOA_clean_2,-47.6612,0.0163172,94.9526
AWAJIT_clean_15,-38.2628,0.00497684,56.4319
AZEBUE_clean_33,-30.3469,0.000583955,28.9648
