Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,time
AMODUC_clean_1,-17.3286,5.26344e-05,61.7528
AJAYIT_clean_9,-29.544,0.000392062,95.4577
AQIQAU_clean_15,-22.4255,0.000126667,27.375
APEBEE_clean_2,-33.4157,0.00125943,37.7654
AQIQIC_clean_15,-29.6214,0.00069327,27.4585
AFUKAP_clean_2,-26.1216,0.000202783,110.404
AHOZAA_clean_60,-39.4475,0.00751709,100.599
AMUXAI_clean_2,-23.1142,3.68488e-05,61.2601
ARUYOB_clean_14,-27.7977,8.26671e-05,13.204
ASOHUL_clean_62,-20.1377,5.43524e-05,4.83565
AMOYOR_clean_2,-33.4392,0.00108616,65.9764
ALURAB_clean_18,-28.7323,0.000284828,81.8087
AQUDAT_clean_15,-32.4177,4.23905e-05,27.0744
AQUDEX_clean_15,-33.3248,7.35752e-05,26.6531
ASEKAM_clean_15,-26.6868,0.00017345,10.7738
AQUDOH_clean_15,-32.8727,6.29915e-05,26.4101
ANUGIA_clean_1,-18.5197,5.49962e-05,54.8536
AFOQUI_clean_1,-29.8986,2.79361e-05,121.775
ALUREF_clean_18,-29.1241,0.00031289,84.1974
acs.inorgchem.6b00894_ic6b00894_si_003_clean_19,-33.7297,0.000903094,139.457
ASALAH_clean_19,-36.3267,0.000359071,18.5729
ASACON_clean_52,-27.0308,0.000213447,20.0145
ACIBIY_clean_2,-28.713,0.000136868,140.783
ASEJOZ01_clean_15,-24.5125,1.54122e-05,16.2134
ALURIJ_clean_18,-29.5147,0.000372338,85.4977
ASEJOZ_clean_15,-24.5132,1.49164e-05,16.2225
ARUYES_clean_14,-28.6035,0.000547491,24.5846
AQUCOF_clean_7,-20.7697,4.23783e-05,34.9319
AGIREP_clean_2,-23.3568,0.000141132,116.285
AMUPOP_clean_15,-35.3467,0.00059552,73.4976
AQUDAS_clean_7,-20.6987,4.22797e-05,34.8455
AQOSEG_clean_88,-22.9724,9.75655e-05,36.1919
ATAFIK_clean_106,-22.3684,0.000146215,12.0905
ASALIP_clean_19,-31.1089,1.51244e-05,23.9401
AJOVEB_clean_2,-26.8625,4.77528e-05,111.608
ASIQIE_clean_86,-24.5471,8.42689e-05,21.1977
ASIQEA_clean_86,-24.2614,7.86107e-05,21.4476
AQUCUM_clean_2,-19.2734,3.31678e-05,39.7937
AQUCOG_clean_2,-19.3531,3.27101e-05,39.828
ATEYED_clean_15,-17.7692,6.59964e-05,13.8044
ATIBIO_clean_14,-22.2062,1.34765e-05,13.1465
ARINUL_clean_117,-37.2476,0.00192997,35.6309
AQODOA_clean_14,-7.87816,6.92138e-10,44.7061
AQUDIB_clean_2,-19.3781,3.20536e-05,41.0846
ASIRUR_clean_14,5.43572,2.34987e-12,24.3355
ATOTIM_manual_63,-33.0045,0.000956351,9.44019
ATOTIM_clean_63,-33.0045,0.000956351,9.86475
ASAJOU_clean_12,-33.5653,0.0004324,32.7056
AROFET_clean_2,-25.3008,0.000172775,41.6479
ATIRUS_clean_15,-22.8745,3.08798e-06,14.6114
ATOGEV_clean_14,-25.3548,0.000135636,13.7467
ARIBOS_clean_14,47.8444,1.71492e-20,43.2994
AMUWIP_charged_34,-24.3985,0.000130296,87.5443
ATIXUX_clean_68,-33.119,0.000751341,14.2818
ATOWIQ_clean_12,-21.6096,7.61403e-05,15.6547
ATIBOU01_clean_14,-26.7802,8.89451e-05,21.7189
ATOWOW_clean_12,-20.4778,6.17946e-05,15.6312
ATIBAG_clean_14,-27.5837,7.36533e-05,22.8309
ASUKEE01_clean_70,-40.1503,0.00328605,30.24
AMILUE_clean_9,-35.6261,0.00146504,98.8901
ASUKEE_clean_70,-40.0349,0.00321516,30.2463
ATIBOU02_clean_14,-26.6824,8.68557e-05,22.0229
ATIBOU_clean_14,-27.2831,6.74166e-05,22.318
