Structures,chan_count,chan_mean_dim
BOJCIN_clean,2,1.0
BOJDAG_clean,0,-1.0
BOJYIK01_clean,0,-1.0
BOJYIK_clean,0,-1.0
BOKQEZ_clean,1,3.0
BOLPAU_clean,1,3.0
BOLPEY_clean,1,3.0
BOMCOX_clean,2,1.0
BOMCUB_charged,0,-1.0
BOMCUB_clean,0,-1.0
BONMEX_clean,2,2.0
BONNIC_clean,0,-1.0
BONWAD_clean,0,-1.0
BONWIL_clean,0,-1.0
BOPHEV_clean,2,2.0
BOPHIZ_clean,1,2.0
BOPWIO_clean,0,-1.0
BOQYUD_clean,0,-1.0
BORBEQ_clean,1,3.0
BOSHIC_clean,1,3.0
BOTLED_clean,0,-1.0
BOVHEB_clean,2,1.0
BOWDIC_clean,1,3.0
BOWNUY_clean,1,3.0
BOWQAG_clean,0,-1.0
BOWQAG_SL,0,-1.0
BOWRAH_clean,2,1.0
BOWSOW_clean,2,1.0
BOWSUC_clean,0,-1.0
BOWZUK_clean,4,1.0
BOXYEU_clean,0,-1.0
BOXYIY_clean,1,1.0
BOYCEY_auto,1,3.0
BOYTEQ_clean,2,1.0
BOYYOF_clean,1,3.0
BOZFIH_clean,1,3.0
BOZFON_clean,2,2.0
BUBDIL_clean,2,2.0
BUBQOE_clean,2,1.0
BUBTUP_clean,1,3.0
BUBWOM_clean,0,-1.0
BUCROH_charged,0,-1.0
BUCSAU_clean,2,2.0
BUCSEY_clean,2,2.0
BUCSIC01_clean,2,2.0
BUCSIC_charged,0,-1.0
BUCTUQ_clean,0,-1.0
BUCVAY_clean,0,-1.0
BUCVIG_clean,0,-1.0
BUCWAZ_clean,1,3.0
BUCYAA_clean,0,-1.0
BUDDIO_clean,0,-1.0
BUFPIC_clean,1,3.0
BUGSAY_clean,2,1.0
BUGSEC_clean,2,1.0
BUGSIG_clean,2,1.0
BUGSOM_clean,2,1.0
BUJKEW01_clean,0,-1.0
BUKMUQ01_clean,1,3.0
BUKMUQ_clean,1,3.0
BUKRUW01_clean,1,3.0
BUKRUW02_clean,1,3.0
BUKRUW03_clean,1,3.0
BUKYAJ_clean,2,1.0
BULBER_clean,2,2.0
BUPDOH_clean,1,3.0
BUPVEP_clean,1,3.0
BUQWER_clean,3,1.0
BURHUS_clean,0,-1.0
BURJOO_clean,1,1.0
BURQIQ_clean,1,3.0
BUSGIG_clean,0,-1.0
BUSGOM_clean,0,-1.0
BUSNAF_clean,1,1.0
BUSQEM_clean,1,3.0
BUSQIQ_clean,1,1.0
BUSQUC_clean,0,-1.0
BUSRUE_clean,2,1.0
BUSSEP_clean,0,-1.0
BUSTAM_clean,0,-1.0
BUVHEH_clean,1,3.0
