Structures,solvent_removed,framework_count,framework_mean_dim,atoms_count,C%,H%,O%,N%,halogen%,metalloid%,ametal%,metal%,radioactive%,M/C,M/O
ABEYEN_clean,1,1,3.0,3984.0,43.57429718875502,0.40160642570281124,37.34939759036145,12.449799196787149,0.0,0.0,0.0,6.224899598393574,0.0,0.14285714285714288,0.16666666666666666
ABEYIR,1,1,3.0,3984.0,43.57429718875502,0.40160642570281124,37.34939759036145,12.449799196787149,0.0,0.0,0.0,6.224899598393574,0.0,0.14285714285714288,0.16666666666666666
ABEYIR_clean,1,1,3.0,3984.0,43.57429718875502,0.40160642570281124,37.34939759036145,12.449799196787149,0.0,0.0,0.0,6.224899598393574,0.0,0.14285714285714288,0.16666666666666666
ABIXOZ_clean,1,1,3.0,2235.0,0.0,0.0,72.12527964205817,0.0,0.0,0.0,11.096196868008949,16.778523489932887,0.0,inf,0.23263027295285357
ABIYIV,1,1,3.0,10676.0,46.45934807043837,32.52154364930686,9.291869614087673,11.614837017609592,0.0,0.0,0.0,0.11240164855751217,0.0,0.002419354838709677,0.012096774193548387
ABIYIV_clean,1,1,3.0,10676.0,46.45934807043837,32.52154364930686,9.291869614087673,11.614837017609592,0.0,0.0,0.0,0.11240164855751217,0.0,0.002419354838709677,0.012096774193548387
ABULOB_clean,1,1,3.0,4092.0,0.0,19.941348973607038,59.82404692082111,0.0,0.0,0.0,19.941348973607038,0.29325513196480935,0.0,inf,0.004901960784313725
ABUWOJ_clean,1,2,3.0,5264.0,56.53495440729483,1.0638297872340425,32.97872340425532,0.0,0.0,0.0,0.0,9.422492401215806,0.0,0.16666666666666666,0.2857142857142857
ACAJIY_clean,1,1,3.0,12384.0,37.06395348837209,1.1627906976744184,0.0,59.302325581395344,0.0,0.0,0.0,2.4709302325581395,0.0,0.06666666666666667,inf
ACAJIZ_clean,1,1,3.0,4312.0,63.265306122448976,2.2263450834879404,23.005565862708718,5.751391465677179,0.0,0.0,0.0,5.751391465677179,0.0,0.09090909090909091,0.25
ACAJOF_clean,1,1,3.0,4444.0,64.17641764176417,2.34023402340234,22.322232223222322,5.5805580558055805,0.0,0.0,0.0,5.5805580558055805,0.0,0.08695652173913043,0.25
ACAKUM,1,1,3.0,3752.0,59.48827292110874,0.8528784648187633,26.439232409381663,9.914712153518122,0.0,0.0,0.0,3.304904051172708,0.0,0.05555555555555556,0.125
ACAKUM_clean,1,1,3.0,3752.0,59.48827292110874,0.8528784648187633,26.439232409381663,9.914712153518122,0.0,0.0,0.0,3.304904051172708,0.0,0.05555555555555556,0.125
ACALIB_clean,1,1,3.0,3752.0,59.48827292110874,0.8528784648187633,26.439232409381663,9.914712153518122,0.0,0.0,0.0,3.304904051172708,0.0,0.05555555555555556,0.125
ACECIV_ion_b,1,1,3.0,8028.0,38.116591928251125,0.8968609865470852,30.4932735426009,7.623318385650225,0.0,0.0,7.623318385650225,15.24663677130045,0.0,0.39999999999999997,0.5
ACIBIY_clean,1,1,3.0,8964.0,24.899598393574294,24.899598393574294,49.79919678714859,0.0,0.0,0.0,0.0,0.40160642570281124,0.0,0.01612903225806452,0.00806451612903226
ACIBOE_clean,1,1,3.0,4240.0,52.64150943396227,0.5660377358490567,38.0188679245283,0.0,0.0,0.0,0.0,8.773584905660378,0.0,0.16666666666666666,0.2307692307692308
ACMPCD_clean,1,1,3.0,4288.0,42.81716417910448,0.0,38.059701492537314,14.272388059701493,0.0,0.0,4.757462686567164,0.09328358208955224,0.0,0.0021786492374727667,0.0024509803921568627
ACODED,1,1,3.0,7544.0,69.03499469777307,1.3785790031813363,23.01166489925769,0.0,0.0,0.0,3.2873806998939554,3.2873806998939554,0.0,0.047619047619047616,0.14285714285714285
ACODON_clean,1,1,3.0,3956.0,67.39130434782608,1.2639029322548028,25.075834175935288,0.0,0.0,0.0,3.134479271991911,3.134479271991911,0.0,0.04651162790697675,0.125
ACODUT_clean,1,1,3.0,7218.0,89.0274314214464,1.0806317539484622,8.478802992518704,0.0,0.0,0.0,0.0,1.4131338320864506,0.0,0.015873015873015872,0.16666666666666666
ACOGAB_clean,1,1,3.0,3234.0,61.34817563388992,2.226345083487941,7.66852195423624,23.00556586270872,3.83426097711812,0.0,0.0,1.91713048855906,0.0,0.03125,0.25
ACOGEF_clean,1,1,3.0,3234.0,61.34817563388992,2.226345083487941,7.66852195423624,23.00556586270872,3.83426097711812,0.0,0.0,1.91713048855906,0.0,0.03125,0.25
