Structures,ASA_m2/cm3,NASA_m2/cm3,SA_m2/cm3
ATEZAC_clean,2196.84,0.0,2196.84
ATEZEG_clean,2243.18,0.0,2243.18
ATEZIK_clean,2225.32,0.0,2225.32
ATIBAG_clean,522.857,0.0,522.857
ATIBIO_clean,694.194,0.0,694.194
ATIBOU01_clean,686.292,0.0,686.292
ATIBOU02_clean,692.778,0.0,692.778
ATIBOU_clean,540.612,0.0,540.612
ATIBUA_clean,0.0,477.654,477.654
ATICAH_clean,620.092,0.0,620.092
ATICEL_clean,587.318,0.0,587.318
ATIJUJ_clean5b,1153.52,0.0,1153.52
ATIJUJ_manual,1172.87,0.0,1172.87
ATIRUS_clean,192.217,0.0,192.217
ATIXAE_clean,1768.67,0.0,1768.67
ATIXUX_clean,578.119,0.0,578.119
ATOGEV_clean,1112.5,0.0,1112.5
ATOTIM_clean,1277.59,0.0,1277.59
ATOTIM_manual,1305.2,0.0,1305.2
ATOWIQ_clean,1625.34,0.0,1625.34
ATOWOW_clean,1615.37,0.0,1615.37
ATOXEN_clean,0.0,177.343,177.343
ATULIM_clean,415.129,0.0,415.129
ATUXIY_clean,1174.56,0.0,1174.56
ATUXOE_clean,0.0,177.388,177.388
ATUXUK_clean,0.0,144.004,144.004
ATUYAR_clean,0.0,128.879,128.879
ATUZEW_clean,1713.09,0.0,1713.09
AVAGIP_clean,523.41,0.0,523.41
AVAGOV_clean,546.639,0.0,546.639
AVAGUB_clean,609.389,0.0,609.389
AVALEO_clean,0.0,0.0,0.0
AVAQIX01_clean,654.097,0.0,654.097
AVAQIX_clean,708.99,0.0,708.99
AVEHAM_clean,203.107,0.0,203.107
AVELOD_clean,1441.98,0.0,1441.98
AVELUJ_clean,1463.13,0.0,1463.13
AVEMAQ_clean,1424.02,0.0,1424.02
AVEMOE_clean,0.0,0.0,0.0
AVEQID_clean,2108.73,0.0,2108.73
AVEROJ_clean,1364.49,0.0,1364.49
AVESAW_clean,0.0,93.873,93.873
AVESOL_clean,2070.89,0.0,2070.89
AVESUR_clean,1889.37,0.185655,1889.555655
AVETAY_clean,1009.98,0.0,1009.98
AVETEC_clean,0.0,1132.43,1132.43
AVETOM_clean,0.0,232.326,232.326
AVEVEE_clean,0.0,280.73,280.73
AVIHIY_clean,1411.33,0.0,1411.33
AVIHOE_clean,1404.6,0.0,1404.6
AVIMIC_clean,469.582,0.0,469.582
AVIMOI_clean,866.887,0.0,866.887
AVIMUO_clean,0.0,605.691,605.691
AVIPAX_clean,1683.31,0.0,1683.31
AVIPOL_clean,1447.29,0.0,1447.29
AVITUU_clean,1502.79,29.6702,1532.4602
AVIVAC_clean,1531.47,45.4724,1576.9424000000001
AVIVEG_clean,1535.2,50.1374,1585.3374000000001
AVIVIK_clean,1541.1,53.7863,1594.8863
AVIVOQ_clean,1573.13,70.9709,1644.1009000000001
AVIVUW_clean,1549.17,46.2495,1595.4195
AVOSIO_charged,1070.03,0.0,1070.03
AVUBUP_clean,0.0,47.7582,47.7582
AVUCEA_clean,2009.95,0.0,2009.95
AVUDAX_clean,0.0,1024.24,1024.24
AVUHIJ_clean,0.0,0.0,0.0
AVUJIL_clean,0.0,0.0,0.0
AVUPIR_SL,0.0,0.0,0.0
AVUPIR_clean_h,0.0,87.0297,87.0297
AWAGEL_clean,1083.26,0.0,1083.26
AWAGOV_clean,594.027,25.4944,619.5214000000001
AWAHAI_clean,0.0,1278.46,1278.46
AWAHEM_clean,1523.54,0.0,1523.54
AWAJIT_clean,0.0,329.3,329.3
AWAKEQ_clean,0.0,432.459,432.459
AWAREV_clean,401.806,0.0,401.806
AWARIZ_clean,405.31,0.0,405.31
AWASAU_clean,655.465,0.0,655.465
AWASOI_clean,214.643,470.622,685.265
AWAWUR_clean,1444.48,0.0,1444.48
AWEBIO_charged,0.0,0.478399,0.478399
AWEDOW_charged,816.523,0.0,816.523
AWEDUC_charged,0.0,126.84,126.84
AWEGEP_clean,0.0,974.329,974.329
AWEJES_clean,1171.99,0.0,1171.99
AWEJIW_clean,1165.36,0.0,1165.36
AWEWOP_clean,1410.51,0.0,1410.51
AWEZOS01_clean,0.0,136.335,136.335
AWEZOS_clean,0.0,134.422,134.422
AWIBAK_clean,0.0,138.678,138.678
AWIBAL_clean,678.19,0.0,678.19
AWIBEO_clean,0.0,130.327,130.327
AWIBIS_clean,0.0,134.78,134.78
AWOFOI_clean,1817.79,0.0,1817.79
AWOKED_clean,0.0,56.2342,56.2342
AWUPAL_clean,1746.82,0.0,1746.82
AWUPOZ_clean,1772.23,0.0,1772.23
AXAFAG_clean,1614.66,0.0,1614.66
AXAQAT_clean,0.0,2.28812,2.28812
AXAWUT_clean,0.0,97.3376,97.3376
AXIGAR_clean,2093.23,0.0,2093.23
AXIMUP_clean,2010.06,0.0,2010.06
AXINEA_clean,0.0,309.028,309.028
AXINIF_clean,1964.43,0.0,1964.43
AXIPEE01_clean,1532.24,0.0,1532.24
AXIPEE02_clean,1190.46,0.219854,1190.679854
AXIPEE03_clean,1233.31,0.0,1233.31
AXIPEE_clean,1086.66,0.0,1086.66
AXOCAT_clean,0.0,1.86618,1.86618
AXOCEW_clean,1138.81,98.529,1237.339
AXOHIE_clean,0.0,322.598,322.598
AXUBAW_clean5b,1648.98,0.0,1648.98
AXUBAW_manual,1664.08,0.0,1664.08
AXUBOL_clean,875.485,411.44,1286.925
AXUDII04_clean,0.0,410.577,410.577
AXUHAD_clean,1450.06,0.0,1450.06
AXUHEH_clean,831.027,0.0,831.027
AXUHIL_clean,0.0,523.98,523.98
AXUJOT_clean,827.564,0.0,827.564
AXUPEO_clean,0.0,798.754,798.754
AYAWEE_clean,0.0,265.144,265.144
AYOXUJ_clean,714.465,0.0,714.465
AYOYEU_clean,0.0,330.893,330.893
AYOYOE_clean,0.0,0.0,0.0
AYUPOZ_clean,0.0,126.903,126.903
AYUWUM_clean,0.0,310.846,310.846
AZAFIS_clean,900.336,0.0,900.336
AZAVOO_clean,316.045,449.51,765.5550000000001
AZAVUU_clean,921.576,0.0,921.576
AZAWAB_clean,1014.68,0.0,1014.68
AZAWAZ_clean,0.0,461.906,461.906
AZEBUE_clean,933.54,0.0,933.54
AZEWEH_clean,0.0,145.861,145.861
AZILEA_clean,0.0,45.2155,45.2155
AZILEC_clean,0.0,555.606,555.606
AZIMIH_clean,0.0,570.963,570.963
AZIVAI_clean,2542.07,0.0,2542.07
AZIXUD_clean,1552.84,0.0,1552.84
AZOBUN_clean,0.0,0.0,0.0
AZOHEC_clean,0.0,361.587,361.587
BABREE_clean,1967.61,0.0,1967.61
BACGAQ_clean,597.258,0.0,597.258
BACMOH10_clean,0.0,0.0,0.0
BACMOH_clean,0.0,14.4043,14.4043
BADHIA_clean,0.0,20.372,20.372
BADHOG_clean,0.0,26.6487,26.6487
BADHUM01_clean,0.0,0.0,0.0
BADHUM_clean,0.0,28.6098,28.6098
BADJAU_clean,0.0,10.3036,10.3036
BADJIC_clean,0.0,0.575192,0.575192
BADXAI_clean,321.066,0.294393,321.360393
BADYAJ_clean,1842.78,0.0,1842.78
BAEDTA01_clean,298.592,38.2212,336.8132
BAFCAP_clean,0.0,384.879,384.879
BAFHAU_clean,2071.19,0.0,2071.19
BAFKUR_clean,0.0,25.6725,25.6725
BAFVAH_clean,0.0,487.573,487.573
BAHGUN01_clean,0.0,109.416,109.416
BAHGUN02_clean,0.0,109.942,109.942
BAHGUN03_clean,0.0,121.204,121.204
BAHGUN04_clean,0.0,134.957,134.957
BAHGUN_clean,0.0,124.51,124.51
BAHMAZ_clean,454.507,61.7459,516.2529
BAKFAV_clean,0.0,567.047,567.047
BAKGAX_clean,0.0,384.967,384.967
BAKGIF_clean5b,1291.69,0.0,1291.69
BAKGIF_clean,1291.69,0.0,1291.69
BAKGIF_manual,1291.69,0.0,1291.69
BAKJEE_clean,2001.34,0.0,2001.34
BAKJII_clean,1621.67,0.0,1621.67
BAKJOO_clean,1539.73,0.0,1539.73
BAKLIK_clean,0.0,211.98,211.98
BAKYIY_clean,1377.03,0.0,1377.03
BAKYOE_clean,1341.03,0.0,1341.03
BALMUW01_clean,0.0,0.0,0.0
BALMUW_clean,0.0,0.0,0.0
BAMKIM_clean,1170.59,0.0,1170.59
BAMKOS_clean,1187.59,0.0,1187.59
BANMAG_clean,942.666,0.0,942.666
BAPDAA_clean,1520.72,0.0,1520.72
BAPVEW_clean,0.0,158.411,158.411
BAQWEY_clean,1371.81,0.0,1371.81
BAQWIC_clean,1331.21,0.0,1331.21
BAQWOI_clean,0.0,914.229,914.229
BARZAW_clean,0.0,391.458,391.458
BARZIE_clean,0.0,379.014,379.014
BARZOK_clean,0.0,372.061,372.061
BARZOL_charged,0.0,229.932,229.932
BARZUR_clean,1013.22,0.0,1013.22
BASJUB_clean,1214.8,0.0,1214.8
BASSOF_clean,0.0,17.31,17.31
BASSUL_clean,0.0,14.8855,14.8855
BASTAS_clean,0.0,17.6389,17.6389
BASTEW_clean,0.0,18.6616,18.6616
BASTIA_clean,0.0,16.5178,16.5178
BASTUM_clean,0.0,18.3675,18.3675
BAWRUO_clean,1341.78,0.0,1341.78
BAXFIR01_clean,0.0,43.1105,43.1105
BAXFIR02_clean,0.0,45.5419,45.5419
BAXFUD_clean,0.0,66.7172,66.7172
BAXGAK_clean,0.0,36.9869,36.9869
BAXLOD_clean,0.0,0.0,0.0
BAXREY_clean,0.0,354.006,354.006
BAXSIE_clean,744.946,0.0,744.946
BAYCOU_clean,0.0,11.2502,11.2502
BAZDAJ_charged,0.0,11.9104,11.9104
BAZDAJ_clean,0.0,16.1433,16.1433
BAZJET_clean,2082.44,0.0,2082.44
BAZJIX_clean,1939.95,0.0,1939.95
BEFGEA_clean5b,2231.86,0.0,2231.86
BEFGEA_manual,2231.86,0.0,2231.86
BEFKUU_clean,0.0,1083.89,1083.89
BEFLAB01_clean,0.0,501.782,501.782
BEFLEF_clean,0.0,354.947,354.947
BEFLIJ_clean,0.0,660.615,660.615
BEFLUV_clean,364.237,42.1928,406.4298
BEFMAC_clean,0.0,639.333,639.333
BEFMOQ_clean,0.0,485.766,485.766
BEFMUW_clean,0.0,306.257,306.257
BEFNAD_clean,0.0,224.558,224.558
