Structures,D_i_vdw_uff298,D_f_vdw_uff298,D_if_vdw_uff298
ARUDAU_clean,5.07723,1.82438,5.07454
ARUJED_clean,3.69975,2.12399,3.69589
ARUYES_clean,5.22696,4.56268,5.2218
ARUYES,2.2326,1.17072,1.84795
ARUYOB_clean,4.34032,2.79473,4.33552
ARUYUH01_clean,4.33804,3.63689,4.33393
ARUYUH_clean,4.11329,3.32594,3.99953
ASACON_clean,5.9234,4.88409,5.9234
ASADAA_clean,5.24295,3.95264,5.24295
ASAHEJ_clean,7.63807,5.89679,6.88464
ASAJOU_clean,4.25657,2.99595,4.25657
ASALAH_clean,3.71931,2.42191,3.58943
ASALIP_clean,3.4372,1.78325,3.23679
ASALOV_clean,3.98155,2.04084,3.98155
ASAMUE_clean,4.74016,2.59552,4.73172
ASANAL_clean,4.58606,3.39462,4.55878
ASECUY_clean,5.9648,5.14259,5.9648
ASEJOZ01_clean,4.04203,3.62193,4.04203
ASEJOZ_clean,4.03059,3.60432,4.02918
ASEKAM_clean,5.38227,4.28535,5.38227
ASEXED_clean,6.57035,3.34145,6.57035
ASINAT_clean,9.0439,6.9572,9.04389
ASINEX_clean,12.157,6.67247,12.07352
ASINIB_clean,11.96478,6.56291,11.96478
ASIQEA_clean,8.74345,5.99367,8.67571
ASIQIE_clean,8.8558,5.99395,8.7321
ASIRUR_clean,3.18025,2.40525,3.16482
ASIVAB_clean,11.65128,6.93483,11.6258
ASIVEF_clean,11.46356,6.92284,10.94474
ASOHUL_clean,6.5383,6.28551,6.50733
ASOSUY_clean,8.75927,3.91462,8.74383
ASOVEL_clean,5.87365,5.32299,5.87365
ASOYOY_clean,8.88419,5.1787,8.1328
ASUBIB_clean,5.7973,4.25014,5.79204
ASUJIJ_clean,4.15064,2.46555,3.71035
ASUKEE01_clean,4.16213,2.9977,4.16212
ASUKEE_clean,4.15589,3.0127,4.15589
ASUWUI_clean,6.9859,3.94844,6.91584
ATAFIK_clean,6.27882,5.65056,6.19008
ATAYAX_clean,10.23738,5.28488,8.67135
ATAYEB_clean,10.30317,5.18745,9.52255
ATEJOA_clean,4.00426,3.71187,3.93987
ATEXII_clean,3.84004,2.18408,3.57919
ATEYED_clean,7.0369,5.52446,7.0369
ATEYOP_clean,10.20468,8.14771,10.20468
ATEYUV_clean,9.92389,8.0541,9.92389
ATEZAC_clean,10.28194,7.72063,10.28194
ATEZEG_clean,9.85447,7.50539,9.85447
ATEZIK_clean,10.10353,7.58953,10.10353
ATIBAG_clean,4.63679,3.22764,4.61
ATIBIO_clean,4.96504,3.98496,4.95735
ATIBOU01_clean,4.89138,3.42137,4.89138
ATIBOU02_clean,4.90392,3.42072,4.85782
ATIBOU_clean,4.52534,3.37728,4.5125
ATIBUA_clean,4.64227,3.14455,4.41623
ATICAH_clean,4.88078,3.42093,4.86563
ATICEL_clean,4.64832,3.35301,4.64686
ATIJUJ_clean5b,16.65642,16.17071,16.65642
ATIJUJ_manual,16.65575,16.17105,16.65575
ATIRUS_clean,4.26035,3.46409,4.25592
ATIXAE_clean,5.43579,4.62074,5.41443
ATIXUX_clean,4.61449,3.57964,4.61082
ATOGEV_clean,5.29317,3.81999,5.29086
ATOTIM_clean,13.98247,13.71934,13.97893
ATOTIM_manual,13.98095,13.71071,13.97622
ATOWIQ_clean,9.45747,7.67881,9.45661
ATOWOW_clean,9.41742,7.73221,9.4029
ATOXEN_clean,4.04319,3.18683,3.98149
ATULIM_clean,4.49432,3.93712,4.4802
ATUXIY_clean,5.06416,3.66591,5.06416
ATUXOE_clean,4.22526,2.51754,4.22526
ATUXUK_clean,4.14706,2.45629,4.14609
ATUYAR_clean,4.1253,2.50365,4.02883
ATUZEW_clean,10.38839,3.54013,10.366
AVAGIP_clean,4.46636,3.91843,4.13535
AVAGOV_clean,4.48102,3.85767,4.37037
AVAGUB_clean,4.07385,3.64907,4.07385
