Structures,chem_comp,solvent_removed,framework_count,framework_mean_dim
ANEPIT_clean,Co8H3224C5084N744O2108,1,1,3.0
ANIDIL_clean,C14076H10404Co28N816O4896,1,1,3.0
ANOMOG_clean,O2480Cu372C6324H68N372,1,1,3.0
ANOMUM_clean,Cu124H20C1860N124O744,1,1,3.0
ANONAT_manual,Cu124H20C1860N124O744,1,1,3.0
ANUGEW_clean,Cu372H88C5208O1488,1,1,3.0
ANUGIA_clean,Cu186H42C2604O744,1,1,3.0
ANUGOG_clean,Cu248H56C3472O992,1,1,3.0
ANUGUM_clean,Zn124H26C1798O620,1,1,3.0
APACAX_clean,O2976C5952H72Zn372,1,1,3.0
APARAM_clean,C4590H2754O612N306F918Mn3,1,1,3.0
APAYIB_clean,C8568H88Eu408O2448,1,1,3.0
APAYOH_clean,C8568H88O2448Tb408,1,1,3.0
APAYUN_clean,C8568H88La408O2448,1,1,3.0
APAZAU_clean,C11016H120Eu408O2448,1,1,3.0
APAZEY_clean,C11016H120O2448Tb408,1,1,3.0
APAZIC_clean,C11016H120La408O2448,1,1,3.0
APAZOI_clean,C6120H56La408O2448,1,1,3.0
APEBED_clean,Zn248H16C1488S248O992,1,1,3.0
APEBEE_clean,N816B102C1632H28Cd102O306,1,1,3.0
APEBII_clean,O5022C10602H90Cu558N1116,1,1,3.0
APEBOO_clean,O4464C12276H108Zn558N1116,1,1,3.0
APEBUU_clean,Cd744O1488N3968C8184H216B496,1,1,3.0
APETAS_clean,Cd186C1240H20O868,1,1,3.0
AQAJEI_clean,C7344H96N2448O1632Zn408,1,2,3.0
AQALIO_clean,Eu248Sr124H8C992O2108,1,1,3.0
AQALOU_clean,Sr204Gd408H8C1632O3468,1,1,3.0
AQEFOS_clean,Mo372O1116Cu310Cl62N744C1488H48P31,1,1,3.0
AQEFUY_clean,Ag620N1736C3472H112,1,1,3.0
AQEGUY_clean,Ba204S408O2550H74C4080,1,1,3.0
AQEQES_clean,O1632C2040H408Co4,1,1,3.0
AQEQIW_clean,Zn124C1240H8O992,1,1,3.0
