Structures,Density,cell_volume,POA_VF,PONA_VF,PO_VF
ATUXOE_clean,1.71175,2100.33,0.0,0.2023,0.2023
ATUXUK_clean,1.75293,2077.37,0.0,0.1738,0.1738
ATUYAR_clean,1.74967,2044.51,0.0,0.2024,0.2024
ATUZEW_clean,0.968927,11559.7,0.5457,0.0,0.5457
AVAGIP_clean,1.40449,7721.76,0.1918,0.0,0.1918
AVAGOV_clean,1.40471,7720.56,0.1931,0.0,0.1931
AVAGUB_clean,1.33788,4053.12,0.2465,0.0,0.2465
AVALEO_clean,1.45932,3085.17,0.0,0.0,0.0
AVAQIX01_clean,1.32796,3567.43,0.3543,0.0,0.3543
AVAQIX_clean,1.30707,3624.44,0.37,0.0,0.37
AVEHAM_clean,1.20992,2970.17,0.1366,0.0088,0.1454
AVELOD_clean,0.915242,4831.16,0.445,0.0,0.445
AVELUJ_clean,0.902679,4826.98,0.4354,0.0,0.4354
AVEMAQ_clean,0.907269,4802.56,0.4229,0.0,0.4229
AVEMOE_clean,2.16979,1190.48,0.0,0.1242,0.1242
AVEQID_clean,0.801255,4535.3,0.6713,0.0,0.6713
AVEROJ_clean,1.69759,1267.26,0.5042,0.0,0.5042
AVESAW_clean,2.03317,2329.24,0.0,0.1192,0.1192
AVESOL_clean,0.954537,4008.76,0.6022,0.0,0.6022
AVESUR_clean,1.18458,7515.18,0.5283,0.0,0.5283
AVETAY_clean,1.01371,7711.03,0.4371,0.0026,0.4397
AVETEC_clean,1.19478,8015.72,0.4527,0.0,0.4527
AVETOM_clean,1.79151,11615.7,0.0,0.0924,0.0924
AVEVEE_clean,1.60472,1148.29,0.3097,0.0,0.3097
AVIHIY_clean,1.62124,1524.26,0.523,0.0,0.523
AVIHOE_clean,1.66276,1502.19,0.5211,0.0,0.5211
AVIMIC_clean,1.51867,2927.05,0.164,0.0,0.164
AVIMOI_clean,1.22616,3625.33,0.3414,0.0,0.3414
AVIMUO_clean,1.24095,3470.23,0.2698,0.0,0.2698
AVIPAX_clean,0.96381,3915.97,0.5203,0.0,0.5203
AVIPOL_clean,0.939158,2679.18,0.5163,0.0,0.5163
AVITUU_clean,0.710904,17043.3,0.4973,0.0154,0.5127
AVIVAC_clean,0.73653,18049.1,0.5154,0.0128,0.5282
AVIVEG_clean,0.733043,18135.0,0.5171,0.0136,0.5307
AVIVIK_clean,0.734288,18104.2,0.5028,0.0265,0.5293
AVIVOQ_clean,0.709142,18746.2,0.5172,0.0309,0.5481
AVIVUW_clean,0.729779,18216.1,0.5061,0.0245,0.5306
AVOSIO_charged,1.06031,7088.61,0.4098,0.0,0.4098
AVUBUP_clean,1.71387,5500.51,0.0,0.0673,0.0673
AVUCEA_clean,0.89363,17797.4,0.5637,0.0,0.5637
AVUDAX_clean,0.998153,4911.08,0.3665,0.0,0.3665
AVUHIJ_clean,1.36097,4002.61,0.0,0.0286,0.0286
AVUJIL_clean,2.10552,1176.92,0.0,0.0,0.0
AVUPIR_SL,1.50651,1098.75,0.0,0.0,0.0
AVUPIR_clean_h,1.46538,1098.75,0.2753,0.0,0.2753
AWAGEL_clean,0.99094,3726.3,0.3891,0.0259,0.415
AWAGOV_clean,1.14872,6756.7,0.1952,0.0229,0.21810000000000002
AWAHAI_clean,2.97237,9201.31,0.0,0.4836,0.4836
AWAHEM_clean,2.1582,3265.47,0.4987,0.0,0.4987
AWAJIT_clean,1.35864,4710.7,0.0,0.1577,0.1577
AWAKEQ_clean,1.19573,3933.27,0.1695,0.0,0.1695
AWAREV_clean,1.8749,2941.19,0.1969,0.0,0.1969
AWARIZ_clean,1.87821,2936.0,0.1967,0.0,0.1967
AWASAU_clean,2.36864,3558.59,0.2735,0.0,0.2735
AWASOI_clean,2.36169,10707.2,0.2221,0.0,0.2221
AWAWUR_clean,0.982453,8267.66,0.5129,0.0,0.5129
AWEBIO_charged,2.08109,4161.24,0.0,0.0144,0.0144
AWEDOW_charged,1.06034,7791.77,0.2729,0.0,0.2729
AWEDUC_charged,1.3288,3333.86,0.0,0.1005,0.1005
AWEGEP_clean,2.1577,5411.85,0.3936,0.0,0.3936
AWEJES_clean,1.24068,8810.49,0.4043,0.0,0.4043
AWEJIW_clean,1.19375,2937.46,0.4629,0.0,0.4629
