Structures,Adsorption_enthalpy[kJ/mol],Henry_const[mol/kg/Pa],Minimum_energy_channel[kJ/mol],Barrier_energy[kJ/mol],Time[s]
AFITIT_clean_5,-29.1562,0.000298493,-31.3803,-22.4803,16.2899
AJAYIT_clean_9,-29.5588,0.000343893,-30.0937,-26.7937,4.06214
AGAXOV_clean_2,-19.8683,5.03657e-05,-24.3701,-18.2701,9.64172
AJUNOK_clean_54,-33.2256,0.000477749,nan,nan,0.638339
AFITUF_clean_4,-28.0904,0.000166969,-30.9491,-23.1491,17.8023
AJAKON_clean_14,-31.7822,0.000368485,-35.0083,-25.4083,6.26429
AJOTEY_clean_33,-19.9689,3.4739e-05,-19.6883,-18.3883,4.10207
AJOXAA_clean_14,-26.074,0.000194077,-27.732,-22.132,3.26043
AHOZAA_clean_60,-39.5014,0.00622935,-40.5262,9.37379,8.07696
AKUHOD01_clean_2,0.283677,2.17733e-11,nan,nan,0.0559383
AKUHOD03_clean_1,-0.0331887,2.32119e-11,nan,nan,0.0645022
AKUHOD_clean_2,-0.811488,3.46218e-11,nan,nan,0.0590783
AGUVOO_charged_60,-26.8442,0.000167008,-29.3859,-18.5859,11.6719
AFUKAP_clean_2,-25.7911,0.000167095,-28.9495,-20.5495,15.4363
AKEDIF_clean_15,-29.5251,0.000816528,-32.8781,-26.3781,3.71445
ALALUU_clean_2,-2.57735,9.3768e-11,nan,nan,0.0615464
ALALUU01_clean_2,-3.63126,1.48189e-10,nan,nan,0.102014
ALATAK_clean_12,-0.430963,1.01403e-10,nan,nan,0.0867611
AKUKUO_clean_2,-31.9538,0.000879339,-33.3425,-29.2425,1.61921
AHIYOH_clean_61,-32.8255,0.00113302,-34.458,-30.458,11.1765
AKOHEO_clean_14,-19.6391,7.17505e-06,-22.1635,-17.2635,3.38763
AHEBAS_clean_5,-34.3839,0.00169324,-36.4482,-4.14819,11.9752
ALIFUY_clean_14,-38.3128,0.00129936,nan,nan,0.407365
ALIPEQ_clean_21,-1.70836,1.85646e-10,nan,nan,0.348459
AJOVEB_clean_2,-26.6625,5.49909e-05,-27.8222,-24.6222,7.50462
AJOVEB_clean_2,-26.6625,5.49909e-05,-27.302,-22.502,7.50462
AHIYUN_clean_15,-54.9456,1.0566,-58.3214,4.97864,12.121
AKOBAF_clean_15,-34.7451,0.00164528,-36.5281,-11.6281,4.33475
AGABIU_clean_11,-13.3338,6.96194e-06,-16.6879,-10.4879,16.5165
AJIGIL_clean_19,-27.1391,0.000111762,-30.9293,-17.6293,11.6774
ALEQIT_clean_2,-30.4002,0.000260842,-33.3844,-20.2844,4.04667
ALOLES_ion_b_1,-26.9603,2.78014e-05,-25.3828,-22.5828,3.36748
ALOLES_ion_b_1,-26.9603,2.78014e-05,-28.8259,-20.6259,3.36748
acs.inorgchem.6b01211_ic6b01211_si_002_clean_2,-32.8706,0.00067594,-34.2333,-14.2333,42.1459
ALIXUP_clean_56,-16.9878,5.32629e-06,-20.5429,-13.6429,4.22693
ALUKAU_clean_2,-34.1584,0.00076575,nan,nan,0.129937
ALUJUN_clean_2,-34.1963,0.00105378,nan,nan,0.209487
ALOLIY_clean_15,-16.06,5.96106e-06,-17.2343,-14.9343,4.42011
AHEQAH_clean_46,-21.7237,8.68695e-05,-26.0604,-21.5604,17.3122
AKAYIV_clean_13,-20.2302,3.59713e-05,-23.1698,-18.0698,11.6592
AKAYIV_clean_13,-20.2302,3.59713e-05,-23.357,-19.157,11.6592
acscombsci.5b00188_5024922_clean_1,-11.9742,9.87964e-06,-18.767,-11.867,47.5096
ALIXAU_clean_h_1,-28.0673,7.63685e-05,-30.4411,-19.1411,7.97872
ABEXEN_clean_192,-25.414,0.000138526,-28.322,-12.222,52.2638
ALIXOJ_clean_14,-21.716,5.79027e-05,-24.89,-20.69,10.0077
am301365h_si_002_clean_160,-21.3718,6.87191e-05,nan,nan,3.568
ALUJEX_clean_2,-27.8618,0.000289721,-30.4047,-22.8047,11.4538
ALUJEX_clean_2,-27.8618,0.000289721,-29.767,-23.867,11.4538
AKOXIJ_clean_12,-42.9063,0.0201745,-48.0635,-31.5635,16.431
AMALND_clean_60,-22.4853,2.34104e-06,nan,nan,0.139447
ALURAB_clean_18,-28.255,0.000268532,-33.0888,-12.7888,6.97231
AMAFOK_clean_2,-29.9402,0.000731024,-29.9112,-27.0112,1.07599
AMIKOX_clean_54,-2.42156,2.43918e-11,nan,nan,0.197423
AMEJIM_charged_148,-24.3047,5.64326e-05,nan,nan,0.779827
ALULID_clean_2,-22.165,8.21772e-05,-26.5266,-19.7266,9.33879
ALURIJ_clean_18,-29.0895,0.000350408,-33.8553,-2.65525,6.96432
ALIBUT_clean_229,-25.5231,3.85491e-05,-25.9834,1.31664,18.1595
