Structure_name,Enthalpy_surface_kjmol,Henry_coeff_molkgPa,ASA_m2_cm3,time
ADODII_clean_1,-30.1182,0.000629929,249.049,70.7134
ANONAT_manual_2,-22.7297,0.000116694,778.189,21.1541
AQOLOJ_clean_221,-37.443,0.00436186,949.722,4.00644
AQOMAW_clean_221,-31.2519,0.000417423,653.869,4.40038
AMUWUB_clean_2,-22.6414,2.97222e-05,460.177,27.298
AQETUM_clean_14,-21.9809,1.52226e-05,93.8095,6.78955
APEBED_clean_19,-34.0414,0.000407503,7.59472,15.4624
ABAVIJ_clean_1,-41.164,0.00488907,0.457778,76.4644
AQEQIW_clean_14,-24.9745,0.000224664,569.6,9.17027
ADODOO_clean_1,-31.0109,0.000825055,266.212,72.0005
AQOTIK_clean_123,-30.6273,0.000497789,340.618,3.75781
ACOLUB_clean_2,-26.8255,0.000178327,353.353,76.6496
AHEBAS_clean_5,-35.1639,0.00217675,157.274,57.7047
ALANAD_clean_2,-19.7995,6.57896e-05,929.052,51.717
APETAS_clean_13,-22.0176,8.4227e-07,0,14.6938
APAYIB_clean_15,-29.7484,0.000752069,481.906,19.4593
APAYOH_clean_15,-29.5851,0.000720265,514.903,19.4404
AQOLEZ_clean_123,-29.6022,0.000362006,775.859,7.37375
APAZIC_clean_15,-27.0921,0.000356246,773.097,19.2694
APAYUN_clean_15,-28.3458,0.000481076,458.484,19.676
ANENEN_clean_2,-29.1775,0.000213686,167.594,30.5958
ARAHIM02_clean_140,-0.791523,2.53342e-11,0,4.28692
ARAFEF_clean_24,-22.555,8.6598e-05,750.706,5.60775
AQMAND_clean_2,0.881646,3.25143e-11,0,10.4155
ARAFIJ_clean_24,-23.7661,0.000121816,648.551,6.13843
APAZAU_clean_15,-28.4602,0.000568116,629.986,21.8314
AMUCOB_clean_2,-22.4863,4.40275e-07,0,36.452
APAZEY_clean_15,-28.18,0.000519465,696.958,22.0548
ARAFOP_clean_24,-28.7103,0.000360184,256.394,6.8813
AJAYIT_clean_9,-29.9361,0.000298425,221.66,61.0389
ALOLET_charged_159,-23.7361,6.86925e-05,534.905,52.4328
AQETIA_clean_14,-18.1021,2.27622e-07,0,14.2998
AQEFUY_clean_15,-21.96,3.43908e-05,388.564,18.7266
ARAHIM01_clean_87,3.40165,4.74216e-12,0,7.31276
AMOYOR_clean_2,-33.775,0.00112212,28.1638,38.1523
ARAHIM_clean_87,-0.571808,2.68063e-11,0,7.59202
ANUGEW_clean_2,-18.8491,4.22615e-05,822.167,29.7975
AFITIT_clean_5,-29.837,0.000320856,313.139,74.7428
ARUYUH_clean_56,-28.7765,0.000122434,9.28917,4.69173
ARUYUH01_clean_56,-29.4893,0.000228076,69.5893,4.80296
APEBEE_clean_2,-33.5677,0.000992744,190.999,24.5124
AQMAND01_clean_2,-1.5749,6.48166e-11,0,14.8735
AHOZAA_clean_60,-39.7597,0.00547961,48.4421,64.9038
ACIBIY_clean_2,-28.9315,0.000156533,99.4538,86.2142
ARADEE_clean_15,-23.0777,0.000108384,458.537,11.3511
acs.inorgchem.6b00894_ic6b00894_si_002_clean_5,-33.2036,0.00206617,240.405,86.9894
AQAJEI_clean_60,-29.5703,0.000510389,318.172,24.7409
ARAGOR_clean_15,-25.8456,0.000197369,350.763,11.798
AQIQIC_clean_15,-30.1708,0.000509661,265.76,19.3445
ASOHUL_clean_62,-20.4028,3.80933e-05,492.94,3.20948
AMODUC_clean_1,-17.7657,4.85721e-05,1120.43,43.6517
ARUYOB_clean_14,-28.0433,0.000121899,25.5585,9.17338
AQUDAT_clean_15,-32.8418,6.25306e-05,0,14.878
AQIQAU_clean_15,-23.4924,0.000112647,691.378,19.9733
AFUKAP_clean_2,-26.4384,0.000170167,343.611,75.9259
AMUXAI_clean_2,-24.1015,4.04669e-05,417.818,40.8677
AQUDEX_clean_15,-33.8212,0.000102336,0,15.6513
ALUREF_clean_18,-30.0737,0.000297289,227.224,54.4096
ASEKAM_clean_15,-27.4028,0.000200235,268.641,6.64963
AQUDOH_clean_15,-33.457,8.89895e-05,0,15.5914
acs.inorgchem.6b00894_ic6b00894_si_003_clean_19,-33.9958,0.000782986,67.6105,91.7112
ALURAB_clean_18,-29.624,0.0002656,226.707,57.244
ASEJOZ01_clean_15,-24.6232,1.23561e-05,0.0282457,10.557
ANUGIA_clean_1,-19.1886,5.0338e-05,880.328,39.6872
ASEJOZ_clean_15,-24.6342,1.19781e-05,0.0139146,10.6956
ASACON_clean_52,-27.2261,0.000125527,221.168,13.2629
AQODOA_clean_14,-8.37212,7.1815e-10,0,23.2839
AFOQUI_clean_1,-30.059,4.08791e-05,0,84.0261
ALURIJ_clean_18,-30.5392,0.000357189,227.666,58.4443
ASALAH_clean_19,-36.4832,0.00070954,0,13.9357
ARUYES_clean_14,-29.0926,0.000498781,250.243,16.5037
AMUPOP_clean_15,-35.8001,0.00088373,3.66282,49.7903
AJOVEB_clean_2,-27.0948,4.57916e-05,68.1514,74.3058
ATAFIK_clean_106,-22.7313,0.000108097,618.022,8.96493
AQUCOF_clean_7,-21.7344,3.97937e-05,570.46,25.2495
ARINUL_clean_117,-37.2704,0.00205349,4.7208,21.62
ASALIP_clean_19,-30.8376,1.68825e-05,0,16.3458
AQOSEG_clean_88,-23.9357,9.09898e-05,418.586,26.9374
ASIQEA_clean_86,-25.791,8.83252e-05,332.865,14.9615
AQUDAS_clean_7,-21.6218,3.93376e-05,577.584,25.1414
ATIBIO_clean_14,-22.6126,1.41544e-05,90.2109,8.69047
ASAJOU_clean_12,-33.8037,0.000560851,3.72445,17.9189
ASIRUR_clean_14,5.55702,3.09839e-12,0,14.7138
AQUCUM_clean_2,-20.088,3.14747e-05,705.598,26.69
ASIQIE_clean_86,-26.0208,9.56762e-05,344.358,14.99
AQUCOG_clean_2,-20.184,3.12754e-05,699.284,27.1359
AMILUE_clean_9,-35.5787,0.00122465,449.362,60.3839
ATEYED_clean_15,-18.5081,5.96305e-05,801.11,11.1505
AQUDIB_clean_2,-20.2155,3.06978e-05,690.899,26.3792
ARIBOS_clean_14,47.3422,2.74886e-20,0,26.6494
ATOTIM_clean_63,-33.0475,0.000937932,553.908,6.10441
ATOTIM_manual_63,-33.0475,0.000937932,553.834,5.77566
ATIRUS_clean_15,-23.0843,3.02004e-06,2.09652,8.94053
ATIBAG_clean_14,-27.9875,9.52337e-05,68.4153,13.7994
AMIMAL_clean_14,-35.6149,0.00127141,441.88,64.9923
ATIBOU01_clean_14,-26.9999,9.2797e-05,120.431,13.7216
AMIMEP_clean_9,-36.2219,0.00135184,440.908,64.6221
