Structures,CPU_time (s)
AVETOM_clean_68,9.39083
AVEHAM_clean_14,11.3478
AWAJIT_clean_15,5.97739
AVUPIR_SL_2,6.64369
AXIGAR_clean_9,2.66903
AVIPAX_clean_14,8.94788
AWOKED_clean_14,4.51501
AXUPEO_clean_2,1.84595
AYUPOZ_clean_76,1.19091
AVESAW_clean_1,11.9847
AXAFAG_clean_14,4.1813
ALUJOH_clean_1,36.8799
AGIREP_clean_2,41.1369
AZAFIS_clean_2,1.47708
AZAWAZ_clean_2,1.06991
AXINEA_clean_70,3.97307
ALUJIB_clean_1,37.5843
AZEWEH_clean_2,1.43008
AVUHIJ_clean_14,9.73354
ANUGEW_clean_2,31.2969
AHUFIU_clean_14,42.1368
AZEBUE_clean_33,2.87456
AYAWEE_clean_2,5.09093
AVUDAX_clean_14,11.5078
BACMOH10_clean_19,1.73555
BACMOH_clean_19,1.12352
BADHIA_clean_70,1.41321
ATEZAC_clean_15,20.4889
BADHOG_clean_70,1.45427
AXOCEW_clean_13,7.40736
AWEDUC_charged_17,10.6123
AXIPEE01_clean_15,7.82315
AXIPEE_clean_15,8.14192
BADHUM_clean_70,1.39748
AVUBUP_clean_5,13.5655
AZIVAI_clean_94,4.78896
AZOBUN_clean_2,4.6143
BAFHAU_clean_97,0.728186
AWAREV_clean_15,12.6713
ASOSUY_clean_6,23.8397
AWAGEL_clean_13,13.299
AXUBOL_clean_160,8.30443
AZIMIH_clean_15,5.33378
AZIXUD_clean_19,5.12848
AWARIZ_clean_15,13.0254
ASOYOY_clean_80,24.0742
AWUPAL_clean_58,10.6777
AYOXUJ_clean_15,8.07219
AWUPOZ_clean_58,10.6537
ANUGIA_clean_1,35.6996
AQUCUM_clean_2,29.8407
ATEZEG_clean_15,23.0478
AXINIF_clean_62,10.2481
BAEDTA01_clean_104,2.79954
AQUCOG_clean_2,30.4312
AYUWUM_clean_2,8.54513
ATEZIK_clean_15,23.3142
AZOHEC_clean_13,6.55067
BAKFAV_clean_2,1.96495
BALMUW01_clean_2,0.700687
BALMUW_clean_2,0.694918
AWAGOV_clean_85,15.1004
AQUDIB_clean_2,30.2302
BAKGAX_clean_62,2.32046
AWEDOW_charged_52,15.1992
