Structures,CPU_time (s)
AWASAU_clean_14,2.10777
AVIPAX_clean_14,3.41305
AVEQID_clean_14,4.58774
ASOVEL_clean_19,7.05878
AQUCUM_clean_2,9.45689
AQUCOG_clean_2,9.51826
AVETOM_clean_68,4.50534
ATIJUJ_manual_1,6.14844
AVIMOI_clean_14,4.297
AXIGAR_clean_9,1.50672
AHIYUN_clean_15,17.307
AXAFAG_clean_14,1.77964
AQUDIB_clean_2,9.47399
AYUPOZ_clean_76,0.744791
AWIBAL_clean_2,2.24014
AXUPEO_clean_2,1.0234
ATIJUJ_clean5b_1,6.54394
AWAJIT_clean_15,3.12523
AZAFIS_clean_2,0.818237
AQERUL_clean_135,11.3124
ATEZAC_clean_15,7.2958
AZAWAZ_clean_2,0.607838
ATEJOA_clean_2,7.51439
AWOKED_clean_14,2.3035
AVUPIR_SL_2,3.57966
AWUPAL_clean_58,2.33129
ASOYOY_clean_80,8.09764
AWUPOZ_clean_58,2.40488
AZEWEH_clean_2,0.810716
AXINEA_clean_70,2.28408
AWAGEL_clean_13,3.97002
acscombsci.5b00188_5013797_clean_1,20.6103
BACMOH_clean_19,0.602289
BADHIA_clean_70,0.762092
BADHUM_clean_70,0.741017
BADHOG_clean_70,0.775543
BAFHAU_clean_97,0.334495
BACMOH10_clean_19,0.950183
AVESAW_clean_1,6.38649
AVEHAM_clean_14,6.60761
AZEBUE_clean_33,1.58902
AVUHIJ_clean_14,4.81293
AXOCEW_clean_13,2.77639
AXINIF_clean_62,3.17702
AYAWEE_clean_2,2.76529
BAEDTA01_clean_104,1.36045
AXUBOL_clean_160,3.27806
ATEZIK_clean_15,8.9923
AFUKIX_clean_2,20.2618
ATEZEG_clean_15,9.24856
AVUDAX_clean_14,5.76269
BADJIC_clean_15,1.86797
ALUJIB_clean_1,18.2934
AZIXUD_clean_19,2.45457
AZIVAI_clean_94,2.46213
BAKFAV_clean_2,1.18228
AZOBUN_clean_2,2.47796
ALUJOH_clean_1,18.4089
AZIMIH_clean_15,2.56746
BAKGAX_clean_62,1.20361
BALMUW01_clean_2,0.394556
BALMUW_clean_2,0.39751
AXIPEE01_clean_15,4.25985
AYOXUJ_clean_15,3.60929
BAFKUR_clean_2,1.9335
AWEDUC_charged_17,5.14438
AXIPEE_clean_15,4.19389
AWEDOW_charged_52,5.33369
BADHUM01_clean_14,2.77497
AZOHEC_clean_13,3.11235
BAHGUN01_clean_1,2.32378
AWEWOP_clean_12,5.5976
BAKYIY_clean_63,1.2272
AWAHEM_clean_1,6.48917
AYUWUM_clean_2,4.24453
BAHGUN02_clean_1,2.37184
BAHGUN03_clean_1,2.4525
AWAGOV_clean_85,6.70939
BANMAG_clean_66,1.20457
BAHGUN04_clean_1,2.48897
BAKGIF_clean_2,2.30842
BAHGUN_clean_1,2.56698
BAKJII_clean_14,1.82325
BAKGIF_manual_2,2.29854
BAKGIF_clean5b_2,2.32921
AWEJIW_clean_2,6.12655
AXUJOT_clean_2,5.05411
AWAREV_clean_15,7.0585
AWAHAI_clean_2,7.19555
BAXLOD_clean_76,0.535426
AWARIZ_clean_15,7.07267
BAKYOE_clean_60,1.95244
AVUBUP_clean_5,7.88084
ASOSUY_clean_6,11.9736
BAXGAK_clean_14,0.786889
BEFLIJ_clean_70,0.201011
BASSUL_clean_56,1.50555
BEFLUV_clean_126,0.196727
BEFLAB01_clean_68,0.325336
BASTEW_clean_56,1.28689
BEFLEF_clean_20,0.394207
BASTAS_clean_56,1.45154
BAXFIR01_clean_14,1.18105
BEFNIL_clean_121,0.234089
BEFMAC_clean_15,0.356542
BAXFUD_clean_14,1.14709
AXIMUP_clean_14,6.3106
BAXFIR02_clean_14,1.19436
BAXSIE_clean_92,1.08941
BASTIA_clean_56,1.37465
BASTUM_clean_56,1.49804
BEGBOG_clean_198,0.403871
BAWRUO_clean_15,1.62546
BEFNOR_clean_57,0.629137
BEFMUW_clean_5,0.943731
BEFNUX_clean_57,0.812002
BEKZEX01_clean_15,0.649483
BEFMOQ_clean_5,0.980338
BEJZAS_clean_19,0.830759
BEKZEX_clean_15,0.733668
AYOYOE_clean_2,6.27564
BEFNAD_clean_5,1.15192
BEKYOG_clean_15,0.984965
BASJUB_clean_86,2.79832
BEFNEH_clean_14,1.24365
BAHMAZ_clean_14,4.58306
BEKYUM_clean_15,1.40231
BAQWIC_clean_2,3.53254
BAKJEE_clean_14,4.20496
BEKSAM_clean_1,1.60107
ASUWUI_clean_2,13.982
BACGAQ_clean_2,6.39017
BAZJET_clean_11,2.70403
acs.inorgchem.6b01211_ic6b01211_si_002_clean_2,26.3163
BAFVAH_clean_139,5.77184
BADJAU_clean_43,6.2736
BENXOJ_15,1.38383
BEFPAF_clean_5,2.53412
AXIPEE03_clean_14,8.54419
AZILEA_clean_1,7.38705
AROFAP_clean_1,16.2112
AWEJES_clean_58,9.60619
AZILEC_clean_29,7.54604
BELYIC_clean_5,2.20207
AXUHIL_clean_14,8.56404
AZAVOO_clean_14,8.09327
BAYCOU_clean_33,3.84219
AZAVUU_clean_19,8.12499
BENZOL_clean_2,2.48925
BEFKUU_clean_2,3.70056
BEPRIZ_clean_167,1.42317
BAKJOO_clean_2,6.00406
BERFIP_clean_15,0.814292
BEPBAB_clean_2,2.8273
AWEBIO_charged_14,10.7757
BENXUP_clean_2,2.99373
BENZUR_clean_2,2.9014
BEPROF_clean_167,1.87958
