Structures,finished,Diffusion_coefficient,r2,Diffusion_coefficient_log
IKOVAH_clean,0.0,1.2926914976628797e-05,0.9801998307843589,-4.888505107639899
LAVSUY_clean,1.0,4.758086246144048e-05,0.9922791328406793,-4.322567690107712
MATPOP_clean,0.0,9.801566567128572e-06,0.9186896915088594,-5.0087045062374145
NEHZIK_clean,1.0,7.427532942320276e-05,0.9992143756440591,-4.129155413353152
ZADROO_clean,0.0,1.965007453627919e-06,0.9992729692911502,-5.706635797928079
FOFTOL_clean,0.0,9.161350932412593e-06,0.9745678323260822,-5.038040480564407
UZUNEJ_clean,1.0,1.890712995837876e-05,0.9430540817152732,-4.723374390659836
XOPMIA_clean,1.0,1.0989766318437044e-05,0.9937641172340461,-4.959011542125398
EMIGOX_clean,0.0,3.0852671320495615e-05,0.9962681846897814,-4.5107072274322
YUNXAI_clean,0.0,1.9687277460006698e-05,0.9929230889575693,-4.7058143379933
ROYRII_clean,0.0,2.3777216063996796e-06,0.9988656735270692,-5.623838995756924
LIGJIW_clean,1.0,2.1268245480746036e-10,-23.327489965818433,-9.672268335647772
OPAPEB_clean,1.0,7.9215755669291e-11,-2.4539415842061545,-10.101188430535444
NUNCEG_clean,1.0,1.8576085293449424e-05,0.9876493118177495,-4.731045803506159
UGOSOY_charged,1.0,8.413462080726077e-05,0.9976992080740165,-4.075025258285314
CITZIP_clean,1.0,3.753318564641988e-05,0.9995453627700631,-4.425584573078343
EXEWAG_clean,1.0,5.573647455168552e-05,0.9848583032241675,-4.253860504786157
XUDQEU_clean,0.0,1.0661755479544029e-05,0.9147104488807041,-4.9721712819594766
NUDLAA_clean,0.0,1.0101700144652589e-05,0.9726892722202047,-4.995605527078422
BUGSEC_clean,1.0,7.781121110741243e-06,0.9990337243514528,-5.108957824972919
PORVUO_clean,1.0,3.5466354006505663e-06,0.9966745033257463,-5.4501834553465685
ADOBOL_clean,1.0,1.0500121478270417e-06,0.9852758075950053,-5.978805676450317
om701262m-file004_clean,1.0,5.4830299186970766e-05,0.9838665759887174,-4.260979384339099
TAPLED_clean,1.0,4.1757319538616126e-10,-19.720219840182875,-9.379267387087932
WOJZAY_clean,1.0,1.9450158961280853e-05,0.9994233198901055,-4.711076844943672
FASGIS_clean,1.0,1.0595948832424856e-06,0.9951610667994737,-5.9748601475670675
FOFHEO_clean,1.0,6.90624493705767e-05,0.9801469341734892,-4.160758023014338
COTXOA_clean,0.0,2.9018583742884564e-12,-6.249065882932046,-11.53732378720012
ZAVPOD_clean,0.0,3.319105295557639e-06,0.9986517764425072,-5.478978969780524
DIDBEZ_clean,1.0,4.5179499381859245e-05,0.8858964084337857,-4.345058585653385
XANZAQ05_clean,1.0,4.596329896022582e-05,0.9913307604450291,-4.3375888079035745
NAQLAT_clean,1.0,1.0039315883558576e-08,-5.0767681181133675,-7.998295880629076
ENANIS_clean,1.0,1.3631977775051965e-05,0.9896664042201652,-4.865441130630497
LATPIG_clean,1.0,5.5082230308658624e-05,0.9896724356408519,-4.2589884832456635
KALGAH_clean,1.0,1.9020533010438108e-05,0.924430934450031,-4.7207773170385305
IKOTUZ_clean,0.0,6.964377672869921e-06,0.9954199431813275,-5.157117685458797
TAKGOE_clean,1.0,4.8701401181067343e-05,0.9673245307465484,-4.312458543581019
AVIPOL_clean,1.0,3.805994642347012e-05,0.9883821111794868,-4.419531827399699
VEDFAN_clean,1.0,1.1386853679719628e-05,0.9970784777403845,-4.943596259968211
OBUREL_clean,0.0,1.0352020878781397e-10,-2.183345205303045,-9.984974860754741
RANVUA_clean,0.0,0.00012541779130624935,0.9982700340532931,-3.9016408517184935
AJOXAA_clean,1.0,2.1439629174998714e-05,0.9918580084835725,-4.6687827305764955
ESUSOC_clean,1.0,2.4888448864020605e-05,0.9714095340926422,-4.604002169312991
TAKHAR_clean,1.0,4.683938795079832e-05,0.9903258306559205,-4.329388788478573
KIFJIT_charged,1.0,6.097583331689306e-10,0.6067376211869313,-9.214842255754611
XADDAJ01_clean,1.0,6.495192252253128e-05,0.9885899914955695,-4.187407989647616
LUMDEC_clean,1.0,4.4091720301222587e-05,0.9980728263170473,-4.355642956225774
VAGTAA01_clean,1.0,2.6329239811502106e-05,0.9747497837820546,-4.579561679839464
UZUNAF_clean,1.0,2.4880657375362454e-05,0.9931077942759288,-4.604138149273789
WAYMEQ_SL,1.0,8.811998077767056e-05,0.9951880814729721,-4.054925606257454
VITZIJ_clean,1.0,5.156776469795631e-05,0.9878885881406138,-4.287621693498904
UCAXEC_clean,1.0,2.6239773584433498e-06,0.9932393431579353,-5.581039916684158
BIYYEP_charged,0.0,1.659298712959887e-06,0.9945191986035526,-5.780075423672883
EMITUQ_clean,1.0,2.292884660698683e-05,0.9989057135823453,-4.639617791097344
HIHGAI_clean,0.0,6.852855327009785e-06,0.9971642418771582,-5.164128436626286
XAPTUE_clean,1.0,5.9350547205524795e-05,0.9957849217024145,-4.226575272543521
XANMUX07_clean,1.0,2.1435193610478802e-05,0.9741015318970123,-4.6688725894296335
YINCEF_clean,1.0,9.727217871743254e-06,0.995498212247052,-5.012011356620027
XANZAQ04_clean,1.0,2.641565822834262e-05,0.977534572217045,-4.578138563043466
VURNED_clean,1.0,3.6204284137753644e-05,0.9835271445004538,-4.441240035342565
GUDJOG_clean,0.0,5.139001526671651e-05,0.9786136654000848,-4.289121253296541
NUHRAL_clean,1.0,4.602764653324367e-05,0.9746501727175861,-4.336981230705764
FAVHIW_clean,1.0,1.387073127297026e-05,0.9591739218943789,-4.857900642067025
YINCOP_clean,1.0,1.388885248910636e-06,0.9771211374712936,-5.857333634624938
XEQGAC_clean,1.0,0.00012236567523893447,0.9857213915844731,-3.912340388929957
KOJTOU_clean,0.0,6.714007690195764e-06,0.9984302856149514,-5.173018165648675
FEWQOP_clean,1.0,3.143134584835242e-05,0.9911627557205218,-4.5026370226731895
DAFJOM_clean,1.0,1.59015769058727e-07,0.9953870035060391,-6.798559806021614
QOTZEG_clean,1.0,4.4979130889273294e-05,0.99895886034846,-4.346988940488635
FAVDIS_clean,0.0,1.5160424034412291e-05,0.943738848350584,-4.819288651393282
VURNED04_clean,1.0,2.943433571791149e-05,0.9987644711928373,-4.531145761017121
EZIMIK_clean,0.0,6.145217396001819e-10,-2.1442106349555137,-9.211462748706909
NOSTUM01_clean,1.0,7.00241483078248e-05,0.9669274642526686,-4.154752164724479
